Participant,Technique,Trial,Condition,Associated,Response,Response Time,Prompt Time,Travel Time,Objects In Box
,T,1,ND,TRUE,TRUE,52 ms,9537 ms,13603 ms, brown pole+green block+grey pyramid+yellow sphere+white cone+blue cross+
,T,1,ND,FALSE,TRUE,153 ms,9537 ms,13603 ms, brown pole+green block+grey pyramid+yellow sphere+white cone+blue cross+
,T,1,ND,TRUE,TRUE,27 ms,9537 ms,13603 ms, brown pole+green block+grey pyramid+yellow sphere+white cone+blue cross+
,T,1,ND,TRUE,FALSE,167 ms,9537 ms,13603 ms, brown pole+green block+grey pyramid+yellow sphere+white cone+blue cross+
,T,1,ND,FALSE,FALSE,27 ms,9537 ms,13603 ms, brown pole+green block+grey pyramid+yellow sphere+white cone+blue cross+
,T,2,ND,FALSE,TRUE,1096 ms,8519 ms,16915 ms, yellow sphere+blue cone+magenta block+white pyramid+green wedge+grey star+
,T,2,ND,TRUE,FALSE,153 ms,8519 ms,16915 ms, yellow sphere+blue cone+magenta block+white pyramid+green wedge+grey star+
,T,2,ND,FALSE,FALSE,250 ms,8519 ms,16915 ms, yellow sphere+blue cone+magenta block+white pyramid+green wedge+grey star+
,T,2,ND,FALSE,FALSE,69 ms,8519 ms,16915 ms, yellow sphere+blue cone+magenta block+white pyramid+green wedge+grey star+
,T,2,ND,FALSE,FALSE,237 ms,8519 ms,16915 ms, yellow sphere+blue cone+magenta block+white pyramid+green wedge+grey star+
,T,2,ND,FALSE,FALSE,55 ms,8519 ms,16915 ms, yellow sphere+blue cone+magenta block+white pyramid+green wedge+grey star+
,T,1,ND,TRUE,TRUE,7721 ms,5499 ms,18849 ms, black pole+red disk+yellow cross+blue star+magenta cube+brown wedge+
,T,1,ND,FALSE,FALSE,138 ms,5499 ms,18849 ms, black pole+red disk+yellow cross+blue star+magenta cube+brown wedge+
