Participant,Technique,Trial,Condition,Associated,Response,Response Time,Prompt Time,Travel Time,Objects In Box
,T,1,ND,TRUE,FALSE,93 ms,11754 ms,17416 ms, white sphere+grey cube+magenta cross+red wedge+blue block+orange star+
,T,1,ND,TRUE,FALSE,142 ms,11754 ms,17416 ms, white sphere+grey cube+magenta cross+red wedge+blue block+orange star+
,T,2,D,FALSE,TRUE,1292 ms,6598 ms,13508 ms, yellow cube+magenta block+blue sphere+green wedge+white star+brown disk+
,T,2,D,FALSE,TRUE,299 ms,6598 ms,13508 ms, yellow cube+magenta block+blue sphere+green wedge+white star+brown disk+
,T,2,D,FALSE,TRUE,133 ms,6598 ms,13508 ms, yellow cube+magenta block+blue sphere+green wedge+white star+brown disk+
,T,2,D,TRUE,FALSE,109 ms,6598 ms,13508 ms, yellow cube+magenta block+blue sphere+green wedge+white star+brown disk+
,T,2,D,TRUE,TRUE,82 ms,6598 ms,13508 ms, yellow cube+magenta block+blue sphere+green wedge+white star+brown disk+
,T,2,D,TRUE,FALSE,209 ms,6598 ms,13508 ms, yellow cube+magenta block+blue sphere+green wedge+white star+brown disk+
,T,3,D,TRUE,TRUE,1252 ms,6212 ms,13538 ms, orange cone+white wedge+yellow pyramid+brown cube+green sphere+black block+
,T,3,D,FALSE,TRUE,251 ms,6212 ms,13538 ms, orange cone+white wedge+yellow pyramid+brown cube+green sphere+black block+
,T,3,D,FALSE,FALSE,166 ms,6212 ms,13538 ms, orange cone+white wedge+yellow pyramid+brown cube+green sphere+black block+
,T,3,D,TRUE,FALSE,209 ms,6212 ms,13538 ms, orange cone+white wedge+yellow pyramid+brown cube+green sphere+black block+
,T,3,D,FALSE,FALSE,40 ms,6212 ms,13538 ms, orange cone+white wedge+yellow pyramid+brown cube+green sphere+black block+
,T,3,D,FALSE,TRUE,239 ms,6212 ms,13538 ms, orange cone+white wedge+yellow pyramid+brown cube+green sphere+black block+
,T,4,D,TRUE,TRUE,1795 ms,6422 ms,13534 ms, orange pyramid+red disk+yellow wedge+brown cube+green block+white star+
,T,4,D,TRUE,TRUE,404 ms,6422 ms,13534 ms, orange pyramid+red disk+yellow wedge+brown cube+green block+white star+
,T,4,D,FALSE,TRUE,303 ms,6422 ms,13534 ms, orange pyramid+red disk+yellow wedge+brown cube+green block+white star+
,T,4,D,TRUE,FALSE,155 ms,6422 ms,13534 ms, orange pyramid+red disk+yellow wedge+brown cube+green block+white star+
,T,4,D,TRUE,TRUE,138 ms,6422 ms,13534 ms, orange pyramid+red disk+yellow wedge+brown cube+green block+white star+
,T,4,D,TRUE,TRUE,110 ms,6422 ms,13534 ms, orange pyramid+red disk+yellow wedge+brown cube+green block+white star+
,T,5,ND,TRUE,TRUE,1435 ms,6115 ms,12647 ms, brown sphere+white star+grey cube+yellow wedge+black disk+magenta cone+
,T,5,ND,FALSE,TRUE,165 ms,6115 ms,12647 ms, brown sphere+white star+grey cube+yellow wedge+black disk+magenta cone+
,T,5,ND,FALSE,TRUE,42 ms,6115 ms,12647 ms, brown sphere+white star+grey cube+yellow wedge+black disk+magenta cone+
,T,5,ND,TRUE,TRUE,210 ms,6115 ms,12647 ms, brown sphere+white star+grey cube+yellow wedge+black disk+magenta cone+
,T,5,ND,FALSE,TRUE,38 ms,6115 ms,12647 ms, brown sphere+white star+grey cube+yellow wedge+black disk+magenta cone+
,T,5,ND,TRUE,TRUE,167 ms,6115 ms,12647 ms, brown sphere+white star+grey cube+yellow wedge+black disk+magenta cone+
,T,1,D,FALSE,TRUE,29902 ms,9703 ms,43837 ms, grey pyramid+yellow cone+magenta star+brown sphere+black block+white cross+
,T,1,D,FALSE,TRUE,194 ms,9703 ms,43837 ms, grey pyramid+yellow cone+magenta star+brown sphere+black block+white cross+
,T,1,D,FALSE,TRUE,182 ms,9703 ms,43837 ms, grey pyramid+yellow cone+magenta star+brown sphere+black block+white cross+
,T,1,D,TRUE,TRUE,209 ms,9703 ms,43837 ms, grey pyramid+yellow cone+magenta star+brown sphere+black block+white cross+
,T,1,D,FALSE,TRUE,181 ms,9703 ms,43837 ms, grey pyramid+yellow cone+magenta star+brown sphere+black block+white cross+
